"",danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,mode
131,0.637,0.973,9,-3.386,0.112,0.000413,2.23e-05,0.104,0.8,150.223,4,160640,1
132,0.551,0.928,1,-4.776,0.0365,1.05e-05,0.000108,0.145,0.736,145.057,4,134733,1
133,0.417,0.824,11,-4.524,0.105,0.00168,8.09e-05,0.343,0.642,137.836,4,167440,0
134,0.646,0.813,6,-5.29,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,4,173493,0
135,0.257,0.409,7,-10.828,0.0363,0.899,0.00293,0.109,0.0794,145.759,5,181480,0
136,0.471,0.735,11,-6.685,0.0582,7.84e-05,0.122,0.101,0.636,180.127,4,205240,0
137,0.472,0.909,7,-5.349,0.0584,1.95e-05,0.00277,0.644,0.388,155.311,4,189680,1
138,0.232,0.8,4,-6.853,0.0536,0.00082,0.0244,0.128,0.224,201.1,3,274200,0
139,0.545,0.953,2,-3.737,0.0703,0.00118,0,0.26,0.591,111.121,4,143213,1
140,0.663,0.839,0,-4.453,0.0695,0.000185,4.65e-06,0.0808,0.75,135.155,4,187133,1
141,0.52,0.852,0,-5.866,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4,253586,1
142,0.42,0.974,1,-4.706,0.191,8.15e-05,0.00155,0.0871,0.463,165.182,4,172866,1
143,0.637,0.963,9,-5.116,0.0882,0.000286,0.000889,0.0449,0.823,150.1,4,165000,1
144,0.555,0.925,1,-4.689,0.0362,1.09e-05,0.000161,0.0659,0.77,145.061,4,138106,1
145,0.414,0.811,11,-4.4,0.0919,0.00133,0.000129,0.333,0.762,137.617,4,171226,0
146,0.654,0.828,1,-5.377,0.0281,0.00146,0.000144,0.122,0.79,112.056,4,183893,0
147,0.29,0.399,7,-10.696,0.0338,0.902,0.0019,0.105,0.0965,128.37,5,184760,0
148,0.469,0.738,11,-6.638,0.0619,0.00013,0.0577,0.078,0.624,180.15,4,209253,0
149,0.476,0.844,7,-5.253,0.0431,1.81e-05,0.00196,0.272,0.658,155.322,4,191680,1
